 -33.760  -17.542 20A     18-18    372
 -30.384   17.542 08B      5-20    101
 -30.384  -17.542 20B      25-4    505
 -27.008   17.542 08C       6-3    105
 -27.008  -17.542 20C     21-16    433
 -23.632   17.542 08D      6-15    117
 -23.632  -17.542 20D     21-10    427
 -20.256   17.542 08E       8-1    145
 -20.256  -17.542 20E     23-12    471
 -16.880   17.542 08F       8-9    153
 -16.880  -17.542 20F     23-16    475
 -13.504   17.542 08G      8-13    157
 -13.504  -17.542 20G     21-12    429
 -10.128   17.542 08H       9-1    166
 -10.128  -17.542 20H      22-8    446
  -6.752   17.542 08I       9-7    172
  -6.752  -17.542 20I      24-5    485
  -3.376   17.542 08J       9-5    170
  -3.376  -17.542 20J     22-21    459
   0.000   17.542 08K      8-17    161
   0.000  -17.542 20K     24-17    497
   3.376   17.542 08L      8-11    155
   3.376  -17.542 20L      24-9    489
   6.752   17.542 08M       8-5    149
   6.752  -17.542 20M      25-3    504
  10.128   17.542 08N       8-3    147
  10.128  -17.542 20N     24-11    491
  13.504   17.542 08O      7-17    140
  13.504  -17.542 20O     24-21    501
  16.880   17.542 08P      7-15    138
  16.880  -17.542 20P     23-21    480
  20.256   17.542 08Q      7-13    136
  20.256  -17.542 20Q     20-20    416
  23.632   17.542 08R      6-18    120
  23.632  -17.542 20R      21-4    421
  27.008   17.542 08S       6-9    111
  27.008  -17.542 20S     19-17    392
  30.384   17.542 08T     11-15    222
  30.384  -17.542 20T     19-21    396
  33.760   17.542 08U     12-18    246
  33.760  -17.542 20U      19-4    379
 -32.072   20.466 07A      11-2    209
 -32.072  -20.466 21A     19-19    394
 -28.696   20.466 07B      4-10     70
 -28.696  -20.466 21B      23-7    466
 -25.320   20.466 07C      4-16     76
 -25.320  -20.466 21C      23-9    468
 -21.944   20.466 07D      5-12     93
 -21.944  -20.466 21D      24-4    484
 -18.568   20.466 07E      5-15     96
 -18.568  -20.466 21E     24-10    490
 -15.192   20.466 07F      6-10    112
 -15.192  -20.466 21F     25-18    519
 -11.816   20.466 07G       7-1    124
 -11.816  -20.466 21G     24-13    493
  -8.440   20.466 07H       7-8    131
  -8.440  -20.466 21H      26-4    526
  -5.064   20.466 07I      7-11    134
  -5.064  -20.466 21I      26-7    529
  -1.688   20.466 07J       7-3    126
  -1.688  -20.466 21J     25-10    511
   1.688   20.466 07K      6-17    119
   1.688  -20.466 21K     26-10    532
   5.064   20.466 07L      6-14    116
   5.064  -20.466 21L     26-13    535
   8.440   20.466 07M       6-2    104
   8.440  -20.466 21M      25-8    509
  11.816   20.466 07N      5-21    102
  11.816  -20.466 21N     25-14    515
  15.192   20.466 07O       5-9     90
  15.192  -20.466 21O     24-19    499
  18.568   20.466 07P       5-7     88
  18.568  -20.466 21P      25-1    502
  21.944   20.466 07Q      4-14     74
  21.944  -20.466 21Q      24-6    486
  25.320   20.466 07R      11-5    212
  25.320  -20.466 21R     23-14    473
  28.696   20.466 07S      10-3    189
  28.696  -20.466 21S     20-17    413
  32.072   20.466 07T      10-5    191
  32.072  -20.466 21T      18-5    359
 -30.384   23.390 06A       9-4    169
 -30.384  -23.390 22A     20-15    411
 -27.008   23.390 06B      2-15     33
 -27.008  -23.390 22B     21-20    437
 -23.632   23.390 06C      3-13     52
 -23.632  -23.390 22C     24-18    498
 -20.256   23.390 06D      4-13     73
 -20.256  -23.390 22D      24-7    487
 -16.880   23.390 06E       5-1     82
 -16.880  -23.390 22E      25-2    503
 -13.504   23.390 06F       5-8     89
 -13.504  -23.390 22F     25-15    516
 -10.128   23.390 06G       6-1    103
 -10.128  -23.390 22G      27-1    544
  -6.752   23.390 06H      6-12    114
  -6.752  -23.390 22H     26-12    534
  -3.376   23.390 06I       6-8    110
  -3.376  -23.390 22I     24-20    500
   0.000   23.390 06J       6-4    106
   0.000  -23.390 22J      27-9    552
   3.376   23.390 06K      5-19    100
   3.376  -23.390 22K     26-18    540
   6.752   23.390 06L      5-13     94
   6.752  -23.390 22L      27-6    549
  10.128   23.390 06M      4-17     77
  10.128  -23.390 22M     27-13    556
  13.504   23.390 06N       4-8     68
  13.504  -23.390 22N      26-6    528
  16.880   23.390 06O       4-2     62
  16.880  -23.390 22O     25-11    512
  20.256   23.390 06P      3-15     54
  20.256  -23.390 22P     25-17    518
  23.632   23.390 06Q      9-14    179
  23.632  -23.390 22Q     24-12    492
